Año;Mes;Cod_Operador;Operador;Grupo;ORIG_1;DEST_1;ORIG_1_N;DEST_1_N;ORIG_1_PAIS;DEST_1_PAIS;ORIG_2;DEST_2;ORIG_2_N;DEST_2_N;ORIG_2_PAIS;DEST_2_PAIS;OPER_2;NAC;PAX_LIB;PASAJEROS;CAR_LIB;CARGA (Ton);CORREO;Distancia;Libertad
2019;01;V5;AEROVIAS DAP;DAP;600;PUQ;ANTÁRTICA CHILENA;PUNTA ARENAS;CHILE;CHILE;PUQ;600;PUNTA ARENAS;ANTÁRTICA CHILENA;CHILE;CHILE;LLEGAN;NACIONAL;0;1685;0;0;0;1737;1
2019;01;V5;AEROVIAS DAP;DAP;600;WPU;ANTÁRTICA CHILENA;PUERTO WILLIAMS;CHILE;CHILE;WPU;600;PUERTO WILLIAMS;ANTÁRTICA CHILENA;CHILE;CHILE;LLEGAN;NACIONAL;0;5;0;0;0;1437;1
2019;01;V5;AEROVIAS DAP;DAP;601;PUQ;BAHIA INUTIL;PUNTA ARENAS;CHILE;CHILE;PUQ;601;PUNTA ARENAS;BAHIA INUTIL;CHILE;CHILE;LLEGAN;NACIONAL;0;47;0;0;0;90;1
2019;01;V5;AEROVIAS DAP;DAP;700;IQQ;PICA;IQUIQUE;CHILE;CHILE;IQQ;700;IQUIQUE;PICA;CHILE;CHILE;LLEGAN;NACIONAL;0;5;0;0;0;90;1
2019;01;V5;AEROVIAS DAP;DAP;700;SCL;PICA;SANTIAGO;CHILE;CHILE;SCL;700;SANTIAGO;PICA;CHILE;CHILE;LLEGAN;NACIONAL;0;178;0;0;0;1444;1
2019;01;V5;AEROVIAS DAP;DAP;BBA;PUQ;BALMACEDA;PUNTA ARENAS;CHILE;CHILE;BBA;PUQ;BALMACEDA;PUNTA ARENAS;CHILE;CHILE;SALEN;NACIONAL;0;311;0;0;0;790;1
2019;01;V5;AEROVIAS DAP;DAP;CJC;SCL;CALAMA;SANTIAGO;CHILE;CHILE;SCL;CJC;SANTIAGO;CALAMA;CHILE;CHILE;LLEGAN;NACIONAL;0;974;0;0;0;1225;1
2019;01;V5;AEROVIAS DAP;DAP;ESR;SCL;EL SALVADOR;SANTIAGO;CHILE;CHILE;SCL;ESR;SANTIAGO;EL SALVADOR;CHILE;CHILE;LLEGAN;NACIONAL;0;354;0;0;0;793;1
2019;01;V5;AEROVIAS DAP;DAP;IQQ;SCL;IQUIQUE;SANTIAGO;CHILE;CHILE;SCL;IQQ;SANTIAGO;IQUIQUE;CHILE;CHILE;LLEGAN;NACIONAL;0;162;0;0;0;1430;1
2019;01;V5;AEROVIAS DAP;DAP;PNT;612;PUERTO NATALES;SOBREVUELO;CHILE;CHILE;612;PNT;SOBREVUELO;PUERTO NATALES;CHILE;CHILE;LLEGAN;NACIONAL;0;12;0;0;0;1;1
2019;01;V5;AEROVIAS DAP;DAP;PNT;PUQ;PUERTO NATALES;PUNTA ARENAS;CHILE;CHILE;PUQ;PNT;PUNTA ARENAS;PUERTO NATALES;CHILE;CHILE;LLEGAN;NACIONAL;0;272;0;0;0;189;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;600;PUNTA ARENAS;ANTÁRTICA CHILENA;CHILE;CHILE;600;PUQ;ANTÁRTICA CHILENA;PUNTA ARENAS;CHILE;CHILE;LLEGAN;NACIONAL;0;1422;0;0;0;1737;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;601;PUNTA ARENAS;BAHIA INUTIL;CHILE;CHILE;601;PUQ;BAHIA INUTIL;PUNTA ARENAS;CHILE;CHILE;LLEGAN;NACIONAL;0;38;0;0;0;90;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;612;PUNTA ARENAS;SOBREVUELO;CHILE;CHILE;612;PUQ;SOBREVUELO;PUNTA ARENAS;CHILE;CHILE;LLEGAN;NACIONAL;0;4;0;0;0;1;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;BBA;PUNTA ARENAS;BALMACEDA;CHILE;CHILE;BBA;PUQ;BALMACEDA;PUNTA ARENAS;CHILE;CHILE;LLEGAN;NACIONAL;0;276;0;0;0;790;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;PNT;PUNTA ARENAS;PUERTO NATALES;CHILE;CHILE;PUQ;PNT;PUNTA ARENAS;PUERTO NATALES;CHILE;CHILE;SALEN;NACIONAL;0;279;0;0;0;189;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;WPR;PUNTA ARENAS;PORVENIR;CHILE;CHILE;PUQ;WPR;PUNTA ARENAS;PORVENIR;CHILE;CHILE;SALEN;NACIONAL;0;499;0;0;0;46;1
2019;01;V5;AEROVIAS DAP;DAP;PUQ;WPU;PUNTA ARENAS;PUERTO WILLIAMS;CHILE;CHILE;PUQ;WPU;PUNTA ARENAS;PUERTO WILLIAMS;CHILE;CHILE;SALEN;NACIONAL;0;2129;0;0;0;300;1
2019;01;V5;AEROVIAS DAP;DAP;SCL;700;SANTIAGO;PICA;CHILE;CHILE;SCL;700;SANTIAGO;PICA;CHILE;CHILE;SALEN;NACIONAL;0;302;0;0;0;1444;1
2019;01;V5;AEROVIAS DAP;DAP;SCL;CJC;SANTIAGO;CALAMA;CHILE;CHILE;SCL;CJC;SANTIAGO;CALAMA;CHILE;CHILE;SALEN;NACIONAL;0;1333;0;0;0;1225;1
2019;01;V5;AEROVIAS DAP;DAP;SCL;ESR;SANTIAGO;EL SALVADOR;CHILE;CHILE;SCL;ESR;SANTIAGO;EL SALVADOR;CHILE;CHILE;SALEN;NACIONAL;0;501;0;0;0;793;1
2019;01;V5;AEROVIAS DAP;DAP;SCL;IQQ;SANTIAGO;IQUIQUE;CHILE;CHILE;SCL;IQQ;SANTIAGO;IQUIQUE;CHILE;CHILE;SALEN;NACIONAL;0;73;0;0;0;1430;1
2019;01;V5;AEROVIAS DAP;DAP;WPR;PUQ;PORVENIR;PUNTA ARENAS;CHILE;CHILE;PUQ;WPR;PUNTA ARENAS;PORVENIR;CHILE;CHILE;LLEGAN;NACIONAL;0;588;0;0;0;46;1
2019;01;V5;AEROVIAS DAP;DAP;WPU;600;PUERTO WILLIAMS;ANTÁRTICA CHILENA;CHILE;CHILE;600;WPU;ANTÁRTICA CHILENA;PUERTO WILLIAMS;CHILE;CHILE;LLEGAN;NACIONAL;0;5;0;0;0;1437;1
2019;01;V5;AEROVIAS DAP;DAP;WPU;PUQ;PUERTO WILLIAMS;PUNTA ARENAS;CHILE;CHILE;PUQ;WPU;PUNTA ARENAS;PUERTO WILLIAMS;CHILE;CHILE;LLEGAN;NACIONAL;0;2155;0;0;0;300;1
2019;01;H2;SKY;SKY;ANF;LSC;ANTOFAGASTA;LA SERENA;CHILE;CHILE;ANF;LSC;ANTOFAGASTA;LA SERENA;CHILE;CHILE;SALEN;NACIONAL;16;4820;0;0;0;723;1
